# authority: IEEE Std 1003.1-2017 and The Open Group Base Specifications Issue 7, 2018 edition
# source: susv4-2018/utilities/V3_chap02.html and susv4-2018/utilities/*.html
# derivation: queue slice 31:62 of the canonical open shell-language then utility parent rows
# queue-offset: 31
# snapshot-count: 31
# shell-parent-count: 12
# utility-parent-count: 19
# ordered-parent-sha256: fd10bc944253186da2ad9efee81662b0a8f37be790837758a96fd39a63607068
# state invariant: every frontier parent remains open until every recursive requirement closes
row	domain	parent	title	source_member	source_sha256	requirement_count	requirement_sha256	q35_case	state	witness	next_action
shell:tag_18_09_04_05	shell	tag_18_09_04_05	Case Conditional Construct	susv4-2018/utilities/V3_chap02.html#tag_18_09_04_05	45452abae8182cc9c5214590be40876c52eb330c92caf9fed611f55e9102f35a	4	45831d62a4d4fc57200612a204a20bdccf2e00906de7df95ae7303591dd8ffc2	shell:tag_18_09_04_05.q35	open	missing:shell:tag_18_09_04_05_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
shell:tag_18_09_04_07	shell	tag_18_09_04_07	The if Conditional Construct	susv4-2018/utilities/V3_chap02.html#tag_18_09_04_07	426262005c251fef37d0e172da79e538912cb999c3e4e88db89f5e911f1cf33f	3	adc7faa2ba3e208265b1e7dfdf4733cbdf8fc438ac9bc2bbb1b6d1ec988bba8a	shell:tag_18_09_04_07.q35	open	missing:shell:tag_18_09_04_07_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
shell:tag_18_09_04_09	shell	tag_18_09_04_09	The while Loop	susv4-2018/utilities/V3_chap02.html#tag_18_09_04_09	c2caa66d8ebfbe9931f42f16c8b297409173d6bd6195db2f534b45e1d4f62071	3	a995dbfd61ee38b5964555c0a7c8111dc11007f286583e40a63bacc030cfb670	shell:tag_18_09_04_09.q35	open	missing:shell:tag_18_09_04_09_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
shell:tag_18_09_04_11	shell	tag_18_09_04_11	The until Loop	susv4-2018/utilities/V3_chap02.html#tag_18_09_04_11	9246de4a07afda8c295a3e337d13bbe84648ccf5b847f9b8339ed45433cf99b5	3	31f9d276f452a8f0cce01fc689fbbc0b23d51f682ffcba899fbbd7cd647d25b7	shell:tag_18_09_04_11.q35	open	missing:shell:tag_18_09_04_11_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
shell:tag_18_09_05	shell	tag_18_09_05	Function Definition Command	susv4-2018/utilities/V3_chap02.html#tag_18_09_05	7c27976e3c35625cbb27e585fa5d391d2f1b302cd687e8fc3d8c5f52d590c54d	8	9b7373d69437a805991ef3c57a8fe4c2f13030d0580b7cf680acefd477f2d191	shell:tag_18_09_05.q35	open	missing:shell:tag_18_09_05_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
shell:tag_18_11	shell	tag_18_11	Signals and Error Handling	susv4-2018/utilities/V3_chap02.html#tag_18_11	9d0b29596234289c439ba92c99d9c70e29fb818e6e05e26725ceed1c983f258e	3	094ff849e49fe9bb9f38c59022a7f5cc1001e4055e6a4d7d38196036f06551f5	shell:tag_18_11.q35	open	missing:shell:tag_18_11_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
shell:tag_18_12	shell	tag_18_12	Shell Execution Environment	susv4-2018/utilities/V3_chap02.html#tag_18_12	f2bc494f8748246912af8236e4556d98edff9a1bdbc5d6acf2647305cc15587c	19	d4f3468a8e524be9ad94ea8e63067f93c9c8a03a593e2230a7980b75e02cb61e	shell:tag_18_12.q35	open	missing:shell:tag_18_12_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
shell:tag_18_13	shell	tag_18_13	Pattern Matching Notation	susv4-2018/utilities/V3_chap02.html#tag_18_13	db5c054f313a527f8413d7d4f5a777b3abb82c734d4fdb9dd46be89a47c4ffbd	21	88cb6f07382e1d8ce072dba57a27759706b946c9db72d67a66cbef0e3a1befcf	shell:tag_18_13.q35	open	missing:shell:tag_18_13_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
shell:tag_18_13_01	shell	tag_18_13_01	Patterns Matching a Single Character	susv4-2018/utilities/V3_chap02.html#tag_18_13_01	9749542806df1f6ee551938ee39b35fbc32c15d4fea365ba2bdba3e126e5fc9a	10	b9b25e06c3d4839ca2871f31c4d2dfb6e83159bb6eed73c7c14f8fedb6278648	shell:tag_18_13_01.q35	open	missing:shell:tag_18_13_01_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
shell:tag_18_13_02	shell	tag_18_13_02	Patterns Matching Multiple Characters	susv4-2018/utilities/V3_chap02.html#tag_18_13_02	cc1498f94331302cfa4306a24f2503626a40d9be49f1ea4903575ea761a44a8a	4	e10887b0abe6ebda90b76c0181b8bfa58ccf11a7f9f147db18e6bf436a86b6bf	shell:tag_18_13_02.q35	open	missing:shell:tag_18_13_02_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
shell:tag_18_13_03	shell	tag_18_13_03	Patterns Used for Filename Expansion	susv4-2018/utilities/V3_chap02.html#tag_18_13_03	523fd473c47379e2b89b52cde1a46a5904ec2071fbaf56656655673eb1666f13	6	5653e50ed714238371fb99da572c592a4ea4e258122f49eebf0df0e649a4b07b	shell:tag_18_13_03.q35	open	missing:shell:tag_18_13_03_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
shell:tag_18_14	shell	tag_18_14	Special Built-In Utilities	susv4-2018/utilities/V3_chap02.html#tag_18_14	589cd976e98311d0d38079b8b3e995e182ba4ca13bcab500be23add182eca741	533	c656d5114326c6765db8c2bdd9266557bf9fd42072c66653d64e1cdc6a41e1ca	shell:tag_18_14.q35	open	missing:shell:tag_18_14_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
utility:admin	utility	admin	admin	susv4-2018/utilities/admin.html#admin	83e7bab7c431a1a2a3d17aa7bea39df94b534e1fe393cf21696c1e78472e6998	91	ee701ca4ffbc10dc5dca77f3d686e295159a0a30f0d0646c1c638a3030ad78a4	utility:admin.q35	open	missing:utility:admin_all_recursive_ring3_assertions	Close every derived requirement only after its exact Q35 Ring 3 witness and mutation falsifier pass.
